storage technology,tmax (°c),hrmin (%),variety,storage time (days),grain impurities (%),initial total damage (%),final total damage  (%)
grainpro hermetic supergrainbag farm,21.71683168316832,57.98019801980198,Hybrid,100,0.17307779800979342,2.682497103070694,5.198960207958393
polypropylene bag with aluminum phosphide,21.71683168316832,57.98019801980198,Hybrid,100,0.17307779800979342,2.682497103070694,5.198613703012526
hermetic metal silo,21.71683168316832,57.98019801980198,Hybrid,100,0.17307779800979342,2.682497103070694,5.132648980135983
grainpro hermetic supergrainbag premium rz with zip,25.976063829787243,48.026595744680854,Native,187,0.4000000000000001,1.8666666666666656,6.599999999999994
polypropylene bag,25.976063829787243,48.026595744680854,Native,187,0.4000000000000001,1.8666666666666656,100.0
hermetic metal silo,25.976063829787243,48.026595744680854,Native,187,0.4000000000000001,1.8666666666666656,2.0
polypropylene bag,26.621875000000006,25.8125,Native,122,0.026402640264026403,7.7887788778877765,21.293333333333337
polypropylene bag,28.717204301075267,66.24731182795699,Native,92,0.20000000000000004,4.533333333333348,94.8
polypropylene bag,28.596774193548388,67.01075268817205,Native,92,0.20000000000000004,8.266666666666655,35.99999999999999
hermetic metal silo,28.596774193548388,67.01075268817205,Native,92,0.20000000000000004,8.266666666666655,13.599999999999994
silage plastic bag,25.122950819672134,29.16393442622951,Native,121,0.2,1.8,28.726666666666674
polypropylene bag,25.122950819672134,29.16393442622951,Native,121,0.2,1.8,17.186666666666653
polypropylene bag with standard lime,25.122950819672134,29.16393442622951,Native,121,0.2,1.8,32.04666666666667
polypropylene bag with micronized lime,25.122950819672134,29.16393442622951,Native,121,0.2,1.8,34.03
polypropylene bag with aluminum phosphide,25.122950819672134,29.16393442622951,Native,121,0.2,1.8,4.11333333333333
polypropylene bag with aluminum phosphide,25.122950819672134,29.16393442622951,Native,121,0.2,1.8,2.166666666666657
grainpro hermetic supergrainbag farm,25.071428571428573,68.14285714285714,Native,90,0.4,12.379999999999987,18.0439121756487
polypropylene bag,25.071428571428573,68.14285714285714,Native,90,0.019992003198720514,11.275489804078365,31.268671579366668
polypropylene bag,25.071428571428573,68.14285714285714,Native,90,0.02,14.100000000000005,59.51619352259096
polypropylene bag with micronized lime,25.071428571428573,68.14285714285714,Native,90,0.02,14.100000000000005,21.71259842519686
polypropylene bag,24.37637362637363,60.37362637362637,Native,122,0.26666666666666666,1.6000000000000076,100.0
grainpro hermetic supergrainbag premium rz with zip,24.942500000000003,43.983333333333334,Native,119,0.18600660066006602,7.694257425742576,12.150279776179048
hermetic metal silo,24.942500000000003,43.983333333333334,Native,119,0.18600660066006602,7.694257425742576,11.955217912834868
plastic barrel,24.942500000000003,43.983333333333334,Native,119,0.18600660066006602,7.694257425742576,12.172696382170699
polypropylene bag,25.388172043010766,71.66666666666667,Native,92,0.35333333333333333,1.7600000000000107,4.413333333333341
polypropylene bag with deodorized malathion,25.388172043010766,71.66666666666667,Native,92,0.35333333333333333,1.7600000000000107,5.233333333333334
silage plastic bag,26.019354838709674,64.54838709677419,Native,92,0.02666666666666667,1.2333333333333243,6.059999999999988
polypropylene bag,26.019354838709674,64.54838709677419,Native,92,0.02666666666666667,1.2333333333333243,7.633333333333326
polypropylene bag with aluminum phosphide,26.019354838709674,64.54838709677419,Native,92,0.02666666666666667,1.2333333333333243,6.046666666666667
polypropylene bag,28.332258064516125,63.96774193548387,Native,92,0.35333333333333333,1.4133333333333324,5.273333333333326
polypropylene bag with standard lime,25.449818181818188,52.07636363636364,Hybrid,274,0.13333333333333333,4.933333333333343,15.079999999999998
polypropylene bag,26.641960784313728,63.46666666666667,Native,254,0.07333333333333333,4.7000000000000215,77.4
polypropylene bag,25.635099337748343,55.390728476821195,Native,150,0.06666666666666667,0.1333333333333362,13.599999999999994
polypropylene bag,22.416279069767448,57.5,Hybrid,257,0.0,1.7333333333333485,25.0
polypropylene bag,22.416279069767448,57.5,Hybrid,257,0.0,0.46666666666665435,10.799999999999997
polypropylene bag,22.640540540540538,46.189189189189186,Hybrid,36,0.0,0.246,2.74
hermetic metal silo,22.640540540540538,46.189189189189186,Hybrid,36,0.0,0.246,0.28999999999999204
grainpro hermetic supergrainbag premium rz with zip,21.252760736196322,65.8159509202454,Hybrid,162,0.20000000000000004,5.199999999999991,10.4
grainpro hermetic supergrainbag farm,30.381249999999994,20.089285714285715,Native,111,0.0,2.6666666666666714,2.799999999999997
silage plastic bag,30.381249999999994,20.089285714285715,Native,111,0.0,2.6666666666666714,4.800000000000011
hermetic metal silo,30.381249999999994,20.089285714285715,Native,111,0.0,2.6666666666666714,3.0
polypropylene bag,22.67129629629629,48.5462962962963,Native,107,0.15333333333333332,7.246666666666687,9.299999999999997
grainpro hermetic supergrainbag premium rz with zip,24.9770642201835,15.963302752293577,Native,108,0.26666666666666666,4.299999999999996,5.500000000000014
polypropylene bag,24.9770642201835,15.963302752293577,Native,108,0.26666666666666666,4.299999999999996,16.260000000000005
polypropylene bag,23.130493273542616,39.90134529147982,Native,227,0.3333333333333333,4.4000000000000155,85.4
