tmax (°c),hrmin (%),storage time (days),grain impurities (%),initial total damage (%),final total damage  (%),storage_grainpro hermetic supergrainbag farm,storage_grainpro hermetic supergrainbag premium rz with zip,storage_hermetic metal silo,storage_plastic barrel,storage_plastic bottle,storage_polypropylene bag,storage_polypropylene bag with aluminum phosphide,storage_polypropylene bag with deodorized malathion,storage_polypropylene bag with micronized lime,storage_polypropylene bag with standard lime,storage_silage plastic bag,variety_Hybrid,variety_Native
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,12.927072927072926,True,False,False,False,False,False,False,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,11.277445109780441,True,False,False,False,False,False,False,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,14.168665067945632,False,False,True,False,False,False,False,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,11.608391608391624,False,False,True,False,False,False,False,False,False,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,28.005997001499253,False,False,False,False,False,True,False,False,False,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,17.284814555633304,False,False,False,False,False,True,False,False,False,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,25.44982007197121,False,False,False,False,False,True,False,False,False,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,8.657402779166238,False,False,False,False,False,False,False,False,True,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,7.798440311937626,False,False,False,False,False,False,False,False,True,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,5.425659472422064,False,False,False,False,False,False,False,False,True,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,5.2663135804936605,False,True,False,False,False,False,False,False,False,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,5.117441279360326,False,True,False,False,False,False,False,False,False,False,False,True,False
34.39971486175115,40.94254032258064,203,1.1302384160920438,4.556170714168656,5.316809914051563,False,False,True,False,False,False,False,False,False,False,False,True,False
22.459692780337942,45.53640552995392,186,0.21333333333333335,6.24,9.079999999999997,False,False,False,False,False,True,False,False,False,False,False,True,False
22.459692780337942,45.53640552995392,186,0.21333333333333335,6.24,6.835898460923456,False,False,False,False,False,True,False,False,False,False,False,True,False
22.459692780337942,45.53640552995392,186,0.21333333333333335,6.24,10.655737704918035,False,False,False,False,False,True,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,76.41415150909454,False,False,False,False,False,True,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,63.41463414634146,False,False,False,False,False,True,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,34.6130773845231,False,False,False,False,False,True,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,10.733559864081549,False,False,True,False,False,False,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,7.4510587295245765,False,False,True,False,False,False,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,8.198360327934422,False,False,True,False,False,False,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,28.514297140571884,False,True,False,False,False,False,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,13.914434226309485,False,True,False,False,False,False,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,14.57417033186725,False,True,False,False,False,False,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,10.175929628148738,False,False,False,False,True,False,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,8.799999999999995,False,False,False,False,True,False,False,False,False,False,False,True,False
21.330742053645277,44.86094174642562,365,0.21333333333333335,6.24,9.476209516193512,False,False,False,False,True,False,False,False,False,False,False,True,False
